class,label,n_samples,tpr_realwaste
clothing,1,318,0.7767295597484277
glass,2,420,0.4738095238095238
metal,3,790,0.49493670886075947
organic,4,847,0.4817001180637544
papery,5,961,0.6951092611862643
plastic,6,921,0.46471226927252984
undifferentiated,7,495,0.05454545454545454
