class,label,n_samples,tpr_realwaste
clothing,1,318,0.889937106918239
glass,2,420,0.3547619047619048
metal,3,790,0.2708860759493671
organic,4,847,0.05548996458087367
papery,5,961,0.5473465140478668
plastic,6,921,0.18675352877307275
undifferentiated,7,495,0.014141414141414142
