class,label,tpr_cleanval
battery,0,0.9629629629629629
clothing,1,0.9972602739726028
glass,2,0.9527363184079602
metal,3,0.935064935064935
organic,4,0.9695431472081218
papery,5,0.9819587628865979
plastic,6,0.8959537572254336
undifferentiated,7,0.9640287769784173
