class,label,n_samples,tpr_realwaste
clothing,1,318,0.8238993710691824
glass,2,420,0.3880952380952381
metal,3,790,0.5481012658227848
organic,4,847,0.3364817001180638
papery,5,961,0.6701352757544224
plastic,6,921,0.3919652551574376
undifferentiated,7,495,0.052525252525252523
