class,label,tpr_val
battery,0,0.9947089947089947
clothing,1,0.9972602739726028
glass,2,0.945273631840796
metal,3,0.935064935064935
organic,4,0.9847715736040609
papery,5,0.9742268041237113
plastic,6,0.8439306358381503
undifferentiated,7,0.9568345323741008
