class,label,n_samples,tpr_realwaste
clothing,1,318,0.8553459119496856
glass,2,420,0.3619047619047619
metal,3,790,0.2746835443037975
organic,4,847,0.4474616292798111
papery,5,961,0.5796045785639958
plastic,6,921,0.40499457111834963
undifferentiated,7,495,0.05454545454545454
