class,label,n_samples,tpr_realwaste
clothing,1,318,0.8018867924528302
glass,2,420,0.6619047619047619
metal,3,790,0.3759493670886076
organic,4,847,0.29634002361275086
papery,5,961,0.5837669094693028
plastic,6,921,0.18349619978284473
undifferentiated,7,495,0.12121212121212122
