class,label,n_samples,tpr_realwaste
clothing,1,318,0.8930817610062893
glass,2,420,0.36666666666666664
metal,3,790,0.5177215189873418
organic,4,847,0.11452184179456906
papery,5,961,0.6618106139438086
plastic,6,921,0.2964169381107492
undifferentiated,7,495,0.024242424242424242
