epoch,train_loss,val_balacc
1,0.34189277094760046,0.9359381040610317
2,0.09997397215290417,0.9585980939522658
3,0.06863186382190517,0.977242595389791
4,0.05187679751363305,0.9801407337473889
5,0.03618300669374558,0.9763397706027559
6,0.02640949175846115,0.9736685195920913
7,0.022549573882381234,0.9770406727499581
8,0.0181962904939563,0.9793825875423294
9,0.014536841205572085,0.9802835553533495
10,0.01328081851354056,0.9820174202924723
11,0.012134719101089375,0.9820874063104945
12,0.008462506549756317,0.9816554820584782
13,0.009166605236780164,0.9801060454963846
14,0.009219679872780802,0.9826889706847111
15,0.011271011638866147,0.9813780920302022
