class,label,n_samples,tpr_realwaste
clothing,1,318,0.89937106918239
glass,2,420,0.46190476190476193
metal,3,790,0.5113924050632911
organic,4,847,0.3884297520661157
papery,5,961,0.5338189386056191
plastic,6,921,0.3485342019543974
undifferentiated,7,495,0.04242424242424243
