class,label,n_samples,tpr_realwaste
clothing,1,318,0.7735849056603774
glass,2,420,0.5619047619047619
metal,3,790,0.7822784810126582
organic,4,847,0.48760330578512395
papery,5,961,0.736732570239334
plastic,6,921,0.6091205211726385
undifferentiated,7,495,0.1191919191919192
