epoch,train_loss,val_balacc
1,0.39544635389801885,0.9542577724069697
2,0.13217224289732746,0.9594375025631494
3,0.09143816848480822,0.9731364307258583
4,0.060976266966500804,0.9735053305584882
5,0.045520225906189225,0.9753575456570795
6,0.0359439716306314,0.9766666146246452
7,0.02446663257785648,0.9802523640441603
8,0.022779486670880998,0.9804762775353013
9,0.01750748363795622,0.9809733235218041
10,0.01746685512337057,0.9839432784013634
11,0.015015818380130235,0.9833328957003501
12,0.013974245920254952,0.9824052300449144
13,0.010694485532852566,0.9819939201373736
14,0.010793396664226261,0.9827276831647965
15,0.011526075913587699,0.9826308470516186
