fold,val_balanced_accuracy,tpr_battery,tpr_clothing,tpr_glass,tpr_metal,tpr_organic,tpr_papery,tpr_plastic,tpr_undifferentiated
1,0.9648031336155882,0.9788359788359788,0.9952054794520548,0.9676616915422885,0.948051948051948,0.9949238578680203,0.9896907216494846,0.8728323699421965,0.9712230215827338
2,0.9646777191759002,0.9682539682539683,0.9931553730321697,0.9652605459057072,0.9545454545454546,0.9746192893401016,0.9768637532133676,0.9132947976878613,0.9714285714285714
3,0.9599906318207989,0.9523809523809523,0.9958932238193019,0.9404466501240695,0.9415584415584416,0.9898477157360406,0.9896907216494846,0.884393063583815,0.9857142857142858
4,0.9603290968776417,0.9788359788359788,0.9938356164383562,0.9378109452736318,0.9090909090909091,0.9847715736040609,0.979381443298969,0.9132947976878613,0.9856115107913669
5,0.9522025555267261,0.9894179894179894,0.9972602739726028,0.940149625935162,0.9019607843137255,0.9796954314720813,0.9664948453608248,0.8786127167630058,0.9640287769784173
