class,label,tpr_cleanval
battery,0,0.9841269841269841
clothing,1,0.9993150684931507
glass,2,0.9626865671641791
metal,3,0.961038961038961
organic,4,1.0
papery,5,0.9948453608247423
plastic,6,0.9364161849710982
undifferentiated,7,0.9784172661870504
