epoch,train_loss,val_balacc
1,0.3081006274280167,0.9271382149572268
2,0.16494329299864158,0.9165520505557999
3,0.12050259293995548,0.937553801080621
4,0.09298381966913176,0.9135100997053869
5,0.07710154251028668,0.9301457233134671
6,0.06867695257554345,0.9550767587171133
7,0.04279799951758288,0.9558059023551972
8,0.03499022200802634,0.9577641098492612
9,0.019185087997872878,0.9617598317404097
10,0.010616071435674477,0.9666439677439624
11,0.007023849465599831,0.971400909848951
12,0.0044829806565476905,0.9771057991007708
13,0.004349448800472676,0.9737019086941189
14,0.0033155564614783532,0.9763101823313913
15,0.004219554624440432,0.9755876389787901
