epoch,train_loss,val_balacc
1,0.4306731336970919,0.8520079502237374
2,0.20780137150558,0.9085874357808319
3,0.16009322724775554,0.9285827001265083
4,0.11933696143252333,0.9382018009550516
5,0.08445875300574548,0.933159449323551
6,0.06841293108390317,0.9434081055856938
7,0.05007486299794052,0.9438858672885603
8,0.03960028978799153,0.9500849667181891
9,0.031203706374334304,0.9495492618924458
10,0.02499919665674919,0.953634177625799
11,0.02044447815254542,0.9574261201986785
12,0.01717809976898278,0.9552940871854138
13,0.012840699913945125,0.9569614325229495
14,0.013096588096382172,0.9574386168383789
15,0.013468342307551773,0.9572075726745075
