class,label,tpr_val
battery,0,0.9788359788359788
clothing,1,0.9993150684931507
glass,2,0.9601990049751243
metal,3,0.9545454545454546
organic,4,0.9847715736040609
papery,5,0.979381443298969
plastic,6,0.9075144508670521
undifferentiated,7,0.9784172661870504
