class,label,tpr_val
battery,0,0.9788359788359788
clothing,1,0.9965753424657534
glass,2,0.9776119402985075
metal,3,0.961038961038961
organic,4,0.9796954314720813
papery,5,0.9871134020618557
plastic,6,0.8786127167630058
undifferentiated,7,0.9568345323741008
