class,label,tpr_val
battery,0,0.9894179894179894
clothing,1,0.9972602739726028
glass,2,0.9626865671641791
metal,3,0.935064935064935
organic,4,0.9796954314720813
papery,5,0.9845360824742269
plastic,6,0.9017341040462428
undifferentiated,7,0.9712230215827338
