class,tpr_mean,tpr_std
battery,0.9735449735449736,0.012520803773755773
clothing,0.9950699933428971,0.001461701160746248
glass,0.9502658917561717,0.013276562322654976
metal,0.9310415075120957,0.02135375258838782
organic,0.9847715736040609,0.007178749047579184
papery,0.980424297034426,0.008712380735890198
plastic,0.892485549132948,0.017379533385402164
undifferentiated,0.975601233299075,0.008636910035859808
