backbone,clean_val,hard_mild,hard_moderate,hard_mean,acquisition_mean,metal_tpr_acq_mod,plastic_tpr_acq_mod,metal_tpr_clean,plastic_tpr_clean,test_mem_gb,fps,params_M,weights_MB
effv2s,0.9836,0.9724,0.955,0.9637,0.9535,0.8312,0.8613,0.961,0.9538,0.465,279.7,20.2,81.6
regnety16gf,0.985,0.9747,0.9502,0.9625,0.9488,0.8312,0.8266,0.974,0.9653,0.296,355.7,10.3,41.7
convnext_tiny,0.9772,0.9636,0.9294,0.9465,0.9338,0.8701,0.8324,0.987,0.9538,0.526,199.5,27.8,111.4
resnet18,0.9715,0.9549,0.9124,0.9336,0.934,0.7792,0.8555,0.9416,0.9191,0.293,1186.3,11.2,44.8
