class,label,n_samples,tpr_realwaste
clothing,1,318,0.8364779874213837
glass,2,420,0.5738095238095238
metal,3,790,0.4050632911392405
organic,4,847,0.30578512396694213
papery,5,961,0.5806451612903226
plastic,6,921,0.3300760043431053
undifferentiated,7,495,0.07878787878787878
