class,label,n_samples,tpr_realwaste
clothing,1,318,0.7547169811320755
glass,2,420,0.5452380952380952
metal,3,790,0.4911392405063291
organic,4,847,0.4557260920897285
papery,5,961,0.5889698231009365
plastic,6,921,0.4169381107491857
undifferentiated,7,495,0.08080808080808081
