class,label,n_samples,tpr_realwaste
clothing,1,318,0.8742138364779874
glass,2,420,0.5047619047619047
metal,3,790,0.5455696202531646
organic,4,847,0.4014167650531287
papery,5,961,0.48283038501560877
plastic,6,921,0.2964169381107492
undifferentiated,7,495,0.06666666666666667
